denue_id,fsq_id,denue_lat,denue_lon,fsq_lat,fsq_lon,distance_m,denue_name_original,denue_name_norm,fsq_name_original,fsq_name_norm,lev_dist,lev_sim,jaccard_sim,score_sim
6323012,4dafc8491e7264cc0e3ce91f,19.42919935,-99.16187363,19.42897832170212,-99.16143894195557,51.844249122999315,50244 REFORMA 222,50244 reforma 222,Torre 2 Reforma 222,torre 2 reforma 222,7,0.63,0.4,0.52
6305169,51563216e4b03e8de11a6c72,19.42453237,-99.15391648,19.42403126727119,-99.1539420876154,55.847244601895795,81082 VIPS CUAUHTEMOC,81082 vips cuauhtemoc,Vips cuauhtemoc,vips cuauhtemoc,6,0.71,0.67,0.69
6305361,5762c6c3498e31ccd3747d4f,19.43195553,-99.13491793,19.432087,-99.13528,40.72974581251505,81166 VIPS 16 DE SEPTIEMBRE,81166 vips 16 de septiembre,Boleros 16 De Septiembre,boleros 16 de septiembre,9,0.67,0.5,0.58
8326211,52ec63f0498e3451da444c4c,19.42718422,-99.16457905,19.427158607533624,-99.1645816909333,2.8646149393720672,A DIOS LE PIDO RESTAURANTE BAR,a dios le pido bar,A Dios le Pido,a dios le pido,4,0.78,0.8,0.79
10682373,63e6b72b01828249227775eb,19.43318955,-99.16760687,19.43317,-99.16756,5.38011469590563,A LA BONNE FRANQUETTE,a la bonne franquette,A la bonne franquette,a la bonne franquette,0,1,1,1
10477067,679d30759dd8106bfb3d98bd,19.4296291,-99.13258842,19.429629,-99.13264,5.414876270242586,A LA MEXICANA,a la mexicana,A La Mexicana,a la mexicana,0,1,1,1
10481403,5f57f8fda4af211b8cb443e1,19.43312948,-99.16819161,19.433165,-99.16826,8.1962647405471,ACLOMA,acloma,Café Acloma,cafe acloma,5,0.55,0.5,0.52
9357212,5e348fd562abad0008ea7b74,19.41076611,-99.15053359,19.410639,-99.150625,17.097550175015684,ACUYO,acuyo,Restaurante Acuyo,acuyo,0,1,1,1
889902,4dbc605243a1d8504b8a544f,19.43826584,-99.15175869,19.438077960356782,-99.15125163508314,57.18934235747008,ADMINISTRACION DE SUSHI HOKO-KI,administracion de sushi hoko ki,Sushi Hoko-Ki,sushi hoko ki,18,0.42,0.6,0.51
867200,4b058701f964a520eb7a22e3,19.4094157,-99.17812621,19.40953873875824,-99.17822801365878,17.373680240005896,AGAPI MU RESTAURANTE GRIEGO,agapi mu griego,Agapi Mu,agapi mu,7,0.53,0.67,0.6
10033460,6632bdfb214adc169ab9ff5e,19.41528213,-99.16893543,19.415238,-99.168795,15.540518829342252,AGROTAVERNA MONSTRUO DE AGUA,agrotaverna monstruo de agua,Agrotaberna Monstruo de Agua,agrotaberna monstruo de agua,1,0.96,0.6,0.78
11485146,61734e2679162319a5e99f0c,19.45180642,-99.15722097,19.451756,-99.157294,9.500775378282173,AHUMADOS PELICAN,ahumados pelican,Ahumados Pelican,ahumados pelican,0,1,1,1
895379,651f99cd12b70a0f7f1e4363,19.41786414,-99.16074357,19.418021,-99.160385,41.497949792260286,AJENO,ajeno,Ajeno,ajeno,0,1,1,1
11104642,643575a4cc5fcf17fc5c72f2,19.42933133,-99.15517433,19.429554,-99.155075,26.891578093740954,ALAMBIQUE GREELL,alambique greell,Alambique Grill,alambique grill,2,0.88,0.33,0.6
10898864,608ca1af6a28334504423c2f,19.41231298,-99.16013929,19.412162,-99.160155,16.887757944633428,ALL WOOD,all wood,All Wood,all wood,0,1,1,1
