fsq_place_id,name,latitude,longitude,address,locality,region,postcode,admin_region,post_town,po_box,country,date_created,date_refreshed,date_closed,tel,website,email,facebook_id,instagram,twitter,fsq_category_ids,fsq_category_labels,placemaker_url,geom,bbox,labels_str,taco_restaurant
5227bbb911d21963ce322e23,Tacos Lulú,31.863147735595703,-116.61507415771484,,,,,,,,MX,2013-09-04,2019-10-12,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/5227bbb911d21963ce322e23,"b""\x00\x00\x00\x00\x01\xc0]']`\x00\x00\x00@?\xdc\xf7@\x00\x00\x00""","{'xmin': -116.61507415771484, 'ymin': 31.863147735595703, 'xmax': -116.61507415771484, 'ymax': 31.863147735595703}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
62cb2c3ee2787b334f0e2c53,Bullo’s Place,31.861981,-116.625063,,Ensenada,Baja California,22800,,,,MX,2022-07-10,2024-11-06,,646 108 5897,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/62cb2c3ee2787b334f0e2c53,b'\x00\x00\x00\x00\x01\xc0](\x01\x08=\xbc#@?\xdc\xaa\xc9l\xc5\xfc',"{'xmin': -116.625063, 'ymin': 31.861981, 'xmax': -116.625063, 'ymax': 31.861981}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4dc0d5e5b0fb1c18ee561ac4,Taqueria Tacomiendo,32.50678138075641,-116.97982932025612,Gustavo Díaz Ordaz 1755,Tijuana,BC,,,,,MX,2011-05-04,2022-02-08,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/4dc0d5e5b0fb1c18ee561ac4,b'\x00\x00\x00\x00\x01\xc0]>\xb5\x86\t\x8a]@@@\xde6XI\x06',"{'xmin': -116.97982932025612, 'ymin': 32.50678138075641, 'xmax': -116.97982932025612, 'ymax': 32.50678138075641}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4bbc5a293de8c9b66dd89aad,Taquería Ocotlán,32.638282763422666,-115.44435793162411,Calz. Independencia 275,Mexicali,BC,,,,,MX,2010-04-07,2025-01-01,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/4bbc5a293de8c9b66dd89aad,b'\x00\x00\x00\x00\x01\xc0\\\xdcp\\@\x02\xcd@@Q\xb3?\xe5@\x1c',"{'xmin': -115.44435793162411, 'ymin': 32.638282763422666, 'xmax': -115.44435793162411, 'ymax': 32.638282763422666}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4d4b16d6f455a1437941e516,Taqueria Mi Casita,32.54365164485534,-116.99816416392517,,,,,,,,MX,2011-02-03,2024-09-30,,664 683 6028,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/4d4b16d6f455a1437941e516,b'\x00\x00\x00\x00\x01\xc0]?\xe1\xeb\xf2\x06B@@E\x96`\x89\x88\xff',"{'xmin': -116.99816416392517, 'ymin': 32.54365164485534, 'xmax': -116.99816416392517, 'ymax': 32.54365164485534}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4f54ea6de4b0a06c239e47af,Tacos de Hielera Nigromante,32.613197636221834,-115.42611497219308,,,,,,,,MX,2012-03-05,2016-05-23,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/4f54ea6de4b0a06c239e47af,b'\x00\x00\x00\x00\x01\xc0\\\xdbEw\xbby\xef@@N}B\x98\xc7U',"{'xmin': -115.42611497219308, 'ymin': 32.613197636221834, 'xmax': -115.42611497219308, 'ymax': 32.613197636221834}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
673a8c45ef2b7965af92065f,Tacos El Rey De Tijuana Zona Rio,32.530483,-117.026924,Blvrd Gral M. Márquez de León 1420,Tijuana,Baja California,22010,,,,MX,2024-11-18,2024-11-18,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/673a8c45ef2b7965af92065f,b'\x00\x00\x00\x00\x01\xc0]A\xb9\x1fp\xde\x8f@@C\xe6\xdd\xf0\n\xbf',"{'xmin': -117.026924, 'ymin': 32.530483, 'xmax': -117.026924, 'ymax': 32.530483}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
5104484be4b0d770c825964a,Carnitas Doña Amparo,32.563073,-115.355938,,,,,,,,MX,2013-01-26,2017-04-21,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/5104484be4b0d770c825964a,b'\x00\x00\x00\x00\x01\xc0\\\xd6\xc7\xb0-Y\xd5@@H\x12\xc6\xac!\\',"{'xmin': -115.355938, 'ymin': 32.563073, 'xmax': -115.355938, 'ymax': 32.563073}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
5a231c7f60255e3bcab4b458,Tacos De Birria Teziutlan,32.512438,-116.997426,,Tijuana,BC,22100,,,,MX,2017-12-02,2023-10-09,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/5a231c7f60255e3bcab4b458,b'\x00\x00\x00\x00\x01\xc0]?\xd5\xd3\xdc\x8b\x87@@A\x97\x91\x81\x9d$',"{'xmin': -116.997426, 'ymin': 32.512438, 'xmax': -116.997426, 'ymax': 32.512438}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4dbd88bf0cb691071cbbd606,Tacos de Birria El Paisa,32.50487510796108,-116.97953662564261,,Tijuana,BC,22450,,,,MX,2011-05-01,2025-01-04,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/4dbd88bf0cb691071cbbd606,b'\x00\x00\x00\x00\x01\xc0]>\xb0\xbac\x17\xa1@@@\x9f\xbf^\xa0\xef',"{'xmin': -116.97953662564261, 'ymin': 32.50487510796108, 'xmax': -116.97953662564261, 'ymax': 32.50487510796108}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
