fsq_place_id,name,latitude,longitude,address,locality,region,postcode,admin_region,post_town,po_box,country,date_created,date_refreshed,date_closed,tel,website,email,facebook_id,instagram,twitter,fsq_category_ids,fsq_category_labels,geom,bbox,labels_str,taco_restaurant
4f3b0210e4b0ccd5ed91fc0e,"Tako Taco ""tacos & Grill",31.834029016881903,-116.59903481321412,Valledorado,Ensenada,Baja California.,,,,,MX,2012-02-15,2020-11-23,,,,,,,,['4bf58dd8d48988d151941735' '4bf58dd8d48988d1df931735'],"['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'
 'Dining and Drinking > Restaurant > BBQ Joint']",b'\x00\x00\x00\x00\x01\xc0]&V\x96\x1c\xfa\xe3@?\xd5\x82\xec\xf7l=',"{'xmin': -116.59903481321412, 'ymin': 31.834029016881903, 'xmax': -116.59903481321412, 'ymax': 31.834029016881903}","dining and drinking > restaurant > mexican restaurant > taco restaurant, dining and drinking > restaurant > bbq joint",1
4ec946057ee537da80a8566e,Tacos Arandas,32.5216752526549,-117.0276549045853,,Tijuana,Baja California,,,,,MX,2011-11-20,2020-11-26,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0]A\xc5\x19\x13\xb1%@@B\xc6A2\xa4\x86',"{'xmin': -117.0276549045853, 'ymin': 32.5216752526549, 'xmax': -117.0276549045853, 'ymax': 32.5216752526549}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4bc0ed074cdfc9b638c99321,Fruteria La Unica,32.498159288879975,-116.98827977393829,Av. Las Ferias,Tijuana,BC,22030,,,,MX,2010-04-10,2020-11-23,,664 681 9950,,,,,,"['4bf58dd8d48988d112941735' '4bf58dd8d48988d16e941735'
 '4bf58dd8d48988d151941735']","['Dining and Drinking > Juice Bar'
 'Dining and Drinking > Restaurant > Fast Food Restaurant'
 'Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant']",b'\x00\x00\x00\x00\x01\xc0]??\xf9\xcf\x17?@@?\xc3\xae\xfe\xf8\x14',"{'xmin': -116.98827977393829, 'ymin': 32.498159288879975, 'xmax': -116.98827977393829, 'ymax': 32.498159288879975}","dining and drinking > juice bar, dining and drinking > restaurant > fast food restaurant, dining and drinking > restaurant > mexican restaurant > taco restaurant",1
5801df5f38fae8b1c61ecb7e,Tacos Varios De La Plaza,32.527508,-117.02249,,Tijuana,Baja California,,,,,MX,2016-10-15,2020-11-22,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],"b'\x00\x00\x00\x00\x01\xc0]Apy\xe5\x9f,@@C\x85a\xd40n'","{'xmin': -117.02249, 'ymin': 32.527508, 'xmax': -117.02249, 'ymax': 32.527508}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
52be256a498eacc389e94441,El Profe Tacos,31.865291595458984,-116.6196060180664,,,,,,,,MX,2013-12-28,2021-08-14,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],"b""\x00\x00\x00\x00\x01\xc0]'\xa7\xa0\x00\x00\x00@?\xdd\x83\xc0\x00\x00\x00""","{'xmin': -116.6196060180664, 'ymin': 31.865291595458984, 'xmax': -116.6196060180664, 'ymax': 31.865291595458984}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4fc85512e4b0896b9f401502,tacos el gube,32.63336350134918,-115.49389153232983,,Mexicali,BCS,,,,,MX,2012-06-01,2021-08-12,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],"b'\x00\x00\x00\x00\x01\xc0\\\xdf\x9b\xeb:\xc80@@Q\x12\x0e""c,'","{'xmin': -115.49389153232983, 'ymin': 32.63336350134918, 'xmax': -115.49389153232983, 'ymax': 32.63336350134918}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4f395390e4b0edf91ef097a7,Ponchos Fish Tacos,32.639227,-115.426753,Independencia,Mexicali,Baja California,,,,,MX,2012-02-13,2020-11-23,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0\\\xdbO\xeb\xd0\x9e\x13@@Q\xd20\xb9\xdc/',"{'xmin': -115.426753, 'ymin': 32.639227, 'xmax': -115.426753, 'ymax': 32.639227}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
59fcb70e8496ca4e8098e8d7,Tacos A Vapor Moreno,32.65857,-115.427842,Calzada Aviación,Mexicali,BC,21210,,,,MX,2017-11-03,2020-11-22,,,,,,,,['4bf58dd8d48988d1cb941735' '4bf58dd8d48988d151941735'],"['Dining and Drinking > Food Truck'
 'Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant']",b'\x00\x00\x00\x00\x01\xc0\\\xdba\xc3iv\xbc@@TL\x05\x92\x108',"{'xmin': -115.427842, 'ymin': 32.65857, 'xmax': -115.427842, 'ymax': 32.65857}","dining and drinking > food truck, dining and drinking > restaurant > mexican restaurant > taco restaurant",1
51ce8bb0498ef93fb9634fd8,"Tacos ""Los Poblanos""",32.33799019829598,-117.0552126815151,Carr.tijuana Ensenada,Rosarito,Baja California,,,,,MX,2013-06-29,2020-11-22,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0]C\x88\x9a\xc5[\xa3@@+CCH\x06_',"{'xmin': -117.0552126815151, 'ymin': 32.33799019829598, 'xmax': -117.0552126815151, 'ymax': 32.33799019829598}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
5001b51ae4b0b1602bbe88d3,Tacos De Birria Casa Blanca,32.50198290079553,-116.8978234527757,,Tijuana,Baja California,,,,,MX,2012-07-14,2020-11-23,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0]9u\xf0\x7f\xd08@@@@\xf9\xc7\x08\xb5',"{'xmin': -116.8978234527757, 'ymin': 32.50198290079553, 'xmax': -116.8978234527757, 'ymax': 32.50198290079553}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
