fsq_place_id,name,latitude,longitude,address,locality,region,postcode,admin_region,post_town,po_box,country,date_created,date_refreshed,date_closed,tel,website,email,facebook_id,instagram,twitter,fsq_category_ids,fsq_category_labels,placemaker_url,geom,bbox,labels_str,taco_restaurant
4f733476e4b053123f9b09c0,Molino y tortilleria Tijuana,32.52928939334794,-116.9759836668368,UABC,Tijuana,Baja California,,,,,MX,2012-03-28,2024-05-01,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/4f733476e4b053123f9b09c0,b'\x00\x00\x00\x00\x01\xc0]>v\x842\x9f\xa1@@C\xbf\xc1=FH',"{'xmin': -116.9759836668368, 'ymin': 32.52928939334794, 'xmax': -116.9759836668368, 'ymax': 32.52928939334794}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
511234db7ab49cc98740c8bd,Asadero Tlaltenango,32.65601498341816,-115.49654245376587,# 1199 calle cuarta Tuxtla Gutierrez,Mexicali,Baja California,,,,,MX,2013-02-06,2013-02-06,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/511234db7ab49cc98740c8bd,b'\x00\x00\x00\x00\x01\xc0\\\xdf\xc7Z\x00\x00\x00@@S\xf8L\x89\xbb\xc6',"{'xmin': -115.49654245376587, 'ymin': 32.65601498341816, 'xmax': -115.49654245376587, 'ymax': 32.65601498341816}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
43500e222c0145dc2383893f,Tacos de Guisado Panduro,32.659611,-115.463635,Mariano Arista Esq. H 1600,Mexicali,Baja California,21100,,,,MX,2013-04-05,2013-04-05,,686 554 6179,,,,,,['4bf58dd8d48988d16e941735' '4bf58dd8d48988d151941735'],"['Dining and Drinking > Restaurant > Fast Food Restaurant'
 'Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant']",https://foursquare.com/placemakers/review-place/43500e222c0145dc2383893f,"b'\x00\x00\x00\x00\x01\xc0\\\xdd\xac2""\x91\xfb@@Tn""\x1c\x8az'","{'xmin': -115.463635, 'ymin': 32.659611, 'xmax': -115.463635, 'ymax': 32.659611}","dining and drinking > restaurant > fast food restaurant, dining and drinking > restaurant > mexican restaurant > taco restaurant",1
4e65a5b9b61cd78089ee2d8c,Tacos Los Poblanos,32.640948,-115.425738,,Mexicali,Baja California,,,,,MX,2011-09-06,2016-01-15,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/4e65a5b9b61cd78089ee2d8c,b'\x00\x00\x00\x00\x01\xc0\\\xdb?J\x98\xaa\x86@@R\n\x95\x857\xe3',"{'xmin': -115.425738, 'ymin': 32.640948, 'xmax': -115.425738, 'ymax': 32.640948}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
66487c0d396e681bf6295313,Taqueria Santo Cariño,32.532224,-117.036821,Avenida Revolucion,Tijuana,B.C.,22000,,,,MX,2024-05-18,2024-12-24,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/66487c0d396e681bf6295313,b'\x00\x00\x00\x00\x01\xc0]B[Fw\xb3\x96@@D\x1f\xea\x81\x12\xba',"{'xmin': -117.036821, 'ymin': 32.532224, 'xmax': -117.036821, 'ymax': 32.532224}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
52dd796b498ed787491a8aa8,Tacos Sergio,32.505459,-116.977112,,,,,,,,MX,2014-01-20,2016-01-09,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/52dd796b498ed787491a8aa8,b'\x00\x00\x00\x00\x01\xc0]>\x89\x00\xc5!\xde@@@\xb2\xe1i<\x04',"{'xmin': -116.977112, 'ymin': 32.505459, 'xmax': -116.977112, 'ymax': 32.505459}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4ce43608c46e6dcb8a7cda15,Fullenios Taco Fish,32.663049,-115.43433552199888,Blvd Las Americas #820,Mexicali,CA,,,,,MX,2010-11-17,2016-10-05,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/4ce43608c46e6dcb8a7cda15,"b""\x00\x00\x00\x00\x01\xc0\\\xdb\xcc'7\x9e{@@T\xde\xca%R\xa0""","{'xmin': -115.43433552199888, 'ymin': 32.663049, 'xmax': -115.43433552199888, 'ymax': 32.663049}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
51e1e39e498e10d87f56f434,El Leñador,32.270347,-117.015269,,,,,,,,MX,2013-07-13,2015-10-07,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/51e1e39e498e10d87f56f434,"b'\x00\x00\x00\x00\x01\xc0]@\xfa*\xd3\xe9!@@""\x9a\xbb\x01\xc9.'","{'xmin': -117.015269, 'ymin': 32.270347, 'xmax': -117.015269, 'ymax': 32.270347}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
66c173afa99ba90fb8e9e9fa,Tacos Contoño,32.461174,-117.00683,Brasilia 33,Tijuana,Baja California,22647,,,,MX,2024-08-18,2024-08-18,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/66c173afa99ba90fb8e9e9fa,b'\x00\x00\x00\x00\x01\xc0]@o\xe7\x18\xa8m@@;\x07\xbf\xe7\xe1\xfc',"{'xmin': -117.00683, 'ymin': 32.461174, 'xmax': -117.00683, 'ymax': 32.461174}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4f8e229be4b019b4971b775e,Tacos El Habanero,32.618961,-115.479426,,,,,,,,MX,2012-04-18,2012-04-18,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/4f8e229be4b019b4971b775e,b'\x00\x00\x00\x00\x01\xc0\\\xde\xae\xeac\xb6\x89@@O:\x1d2?\xee',"{'xmin': -115.479426, 'ymin': 32.618961, 'xmax': -115.479426, 'ymax': 32.618961}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
