fsq_place_id,name,latitude,longitude,address,locality,region,postcode,admin_region,post_town,po_box,country,date_created,date_refreshed,date_closed,tel,website,email,facebook_id,instagram,twitter,fsq_category_ids,fsq_category_labels,geom,bbox,labels_str,taco_restaurant
52d9a36711d22b2b0b606637,Manta Ray's,32.63369369506836,-115.47032928466797,,,,,,,,MX,2014-01-17,2023-12-21,,686 157 8488,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0\\\xde\x19\xe0\x00\x00\x00@@Q\x1c\xe0\x00\x00\x00',"{'xmin': -115.47032928466797, 'ymin': 32.63369369506836, 'xmax': -115.47032928466797, 'ymax': 32.63369369506836}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4fda58f8e4b02f685e850807,Tacos Socky,31.87367888191616,-116.61853924995823,Calle Riveroll,Ensenada,B.C.,22800,,,,MX,2012-06-14,2020-11-25,,646 178 6409,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],"b""\x00\x00\x00\x00\x01\xc0]'\x96%\xa6w;@?\xdf\xa9kQ\t'""","{'xmin': -116.61853924995823, 'ymin': 31.87367888191616, 'xmax': -116.61853924995823, 'ymax': 31.87367888191616}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
50df527fe4b0fe6431769967,Tacos de birria El Paisa,32.537908795019966,-116.90952659249473,,,,,,,,MX,2012-12-29,2021-08-16,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0]:5\xaf\x06f\xdc@@D\xda2\x05k\xb7',"{'xmin': -116.90952659249473, 'ymin': 32.537908795019966, 'xmax': -116.90952659249473, 'ymax': 32.537908795019966}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
55846465498e16007d919460,kafeina,32.342346,-117.054988,,,,,,,,MX,2015-06-19,2021-08-15,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0]C\x84\xecck\t@@+\xd1\xfed\xf5M',"{'xmin': -117.054988, 'ymin': 32.342346, 'xmax': -117.054988, 'ymax': 32.342346}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
5dbb4b2fabc9a70007c9858f,Tacos Walter Food Garden,32.518509,-117.010757,,Tijuana,BC,22010,,,,MX,2019-10-31,2022-08-31,2022-08-31,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0]@\xb0> \xcc\xff@@B^\x80\xbe\xd7A',"{'xmin': -117.010757, 'ymin': 32.518509, 'xmax': -117.010757, 'ymax': 32.518509}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4eab455e4901584489e13c77,Tacos El Norteño,31.880615366931043,-116.62481578628689,,,,,,,,MX,2011-10-29,2023-12-20,,646 178 1342,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],"b""\x00\x00\x00\x00\x01\xc0]'\xfc\xfbZ\x08\x1c@?\xe1p\x029R\xe9""","{'xmin': -116.62481578628689, 'ymin': 31.880615366931043, 'xmax': -116.62481578628689, 'ymax': 31.880615366931043}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
5339d804498e0a9eaf194089,Taco N Todo,32.505187750373665,-116.99900319183399,Av. Hipodromo 10-1,Tijuana,Baja California,,,,,MX,2014-03-31,2020-11-25,,664 120 7379,,,,,tacontodotj,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0]?\xef\xab\x15a\xb4@@@\xa9\xfe\x01\x18\xec',"{'xmin': -116.99900319183399, 'ymin': 32.505187750373665, 'xmax': -116.99900319183399, 'ymax': 32.505187750373665}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4ee124779911bd13a9af5214,Tacos Kokopelli,32.52414248275564,-117.03089313021607,Ocampo,Tijuana,BC,,,,,MX,2011-12-08,2023-12-19,,664 674 4906,http://kokopelli.mx,,,,,['4bf58dd8d48988d151941735' '4bf58dd8d48988d1ce941735'],"['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'
 'Dining and Drinking > Restaurant > Seafood Restaurant']","b""\x00\x00\x00\x00\x01\xc0]A\xfa'-\xfc\xbe@@C\x17\x19\xd2\xf0\x9b""","{'xmin': -117.03089313021607, 'ymin': 32.52414248275564, 'xmax': -117.03089313021607, 'ymax': 32.52414248275564}","dining and drinking > restaurant > mexican restaurant > taco restaurant, dining and drinking > restaurant > seafood restaurant",1
502923a5e4b0a9bbcec296c1,Tortilleria Chelito,31.858238,-116.59255,,,,,,,,MX,2012-08-13,2023-12-19,,646 177 9335,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0]%\xecV\xd5\xcf\xab@?\xdb\xb5|N/8',"{'xmin': -116.59255, 'ymin': 31.858238, 'xmax': -116.59255, 'ymax': 31.858238}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4c546928728920a1a40eb782,El Poblano,32.48943971488598,-116.95172123945625,Blvd. Gustavo Diaz Ordaz 7813,Tijuana,BC,,,,,MX,2010-07-31,2023-12-19,,664 637 9652,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0]<\xe9\x003\x97\xe2@@>\xa5\xf5\xe8fA',"{'xmin': -116.95172123945625, 'ymin': 32.48943971488598, 'xmax': -116.95172123945625, 'ymax': 32.48943971488598}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
51b78a5b498eaa601e9facd8,Tacos El Gordo,32.590128,-115.396552,,,,,,,,MX,2013-06-11,2021-08-12,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0\\\xd9a\x1b\xa3\xcau@@K\x89Pv:\x19',"{'xmin': -115.396552, 'ymin': 32.590128, 'xmax': -115.396552, 'ymax': 32.590128}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
50d6abf2e4b0be0972bc0c46,Mexican Mucho Taco,32.516203,-117.013677,,,,,,,,MX,2012-12-23,2021-08-15,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0]@\xe0\x15~\xedF@@B\x12\xf0\x9d\x8cm',"{'xmin': -117.013677, 'ymin': 32.516203, 'xmax': -117.013677, 'ymax': 32.516203}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
62abedf841fd9f44e9af974a,Taqueria El Gera “Estilo Culiacan”,32.636215,-115.413509,Calzada Gomez Morin,Mexicali,BC,21298,,,,MX,2022-06-17,2022-06-17,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0\\\xdav\xees\xe6\x82@@Qo~=\x1c\xc1',"{'xmin': -115.413509, 'ymin': 32.636215, 'xmax': -115.413509, 'ymax': 32.636215}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4ff1e7ede4b0550dc8032c1c,Asadero La Costeña,32.658004838255685,-115.48920661980445,,,,,,,,MX,2012-07-02,2023-12-20,,686 554 0686,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0\\\xdfO)HB\xff@@T9\x80\xa6u\x7f',"{'xmin': -115.48920661980445, 'ymin': 32.658004838255685, 'xmax': -115.48920661980445, 'ymax': 32.658004838255685}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
545f9ae4498e8f77da516f5d,Tacos De Birria La Ermita,32.50034176397287,-116.97892137423229,,,,,,,,MX,2014-11-09,2020-11-23,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0]>\xa6\xa5\xd5\xeb\xb7@@@\x0b2\xec\x8b\x10',"{'xmin': -116.97892137423229, 'ymin': 32.50034176397287, 'xmax': -116.97892137423229, 'ymax': 32.50034176397287}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
52771d7111d20efbf136e79f,El Kobe,32.635013580322266,-115.38939666748047,,,,,,,,MX,2013-11-04,2021-08-10,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0\\\xd8\xeb\xe0\x00\x00\x00@@QH \x00\x00\x00',"{'xmin': -115.38939666748047, 'ymin': 32.635013580322266, 'xmax': -115.38939666748047, 'ymax': 32.635013580322266}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
661a0dfcf0bf1d51b2fd3304,Las Brasas Taqueria,32.43629,-117.041,,Tijuana,Baja California,22666,,,,MX,2024-04-13,2024-04-13,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0]B\x9f\xbev\xc8\xb4@@7\xd8Y\xc8\xc92',"{'xmin': -117.041, 'ymin': 32.43629, 'xmax': -117.041, 'ymax': 32.43629}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4ef7811fa69dea74face57e1,Tacos La Voz,32.66635066989502,-115.46712868351915,"G, Mexicali, BC",Mexicali,,,,,,MX,2011-12-25,2020-11-23,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0\\\xdd\xe5o\xb4\xaf@@@UJ\xfa\x8fn\xf3',"{'xmin': -115.46712868351915, 'ymin': 32.66635066989502, 'xmax': -115.46712868351915, 'ymax': 32.66635066989502}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
523bdac111d22856703d8499,Tres Toritos Birrieria & Taqueria,32.45682873518023,-116.88669481455979,Lomas Virreyes,Tijuana,Baja California,,,,,MX,2013-09-20,2020-11-30,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0]8\xbf\x9b\x9b\x84K@@:y].\xbco',"{'xmin': -116.88669481455979, 'ymin': 32.45682873518023, 'xmax': -116.88669481455979, 'ymax': 32.45682873518023}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4db3a4a86a23c31a0307c72c,Tacos El Paisa,20.702762,-103.356456,Chihuahua 1486,Guadalajara,Jalisco,,,,,MX,2011-04-24,2024-06-16,,,,,,,,['4bf58dd8d48988d1c1941735' '4bf58dd8d48988d151941735'],"['Dining and Drinking > Restaurant > Mexican Restaurant'
 'Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant']","b'\x00\x00\x00\x00\x01\xc0Y\xd6\xd0,\xd3\x9d\xa1@4\xb3\xe85\xde\xdf\x1e'","{'xmin': -103.356456, 'ymin': 20.702762, 'xmax': -103.356456, 'ymax': 20.702762}","dining and drinking > restaurant > mexican restaurant, dining and drinking > restaurant > mexican restaurant > taco restaurant",1
50bd66a1e4b05ba3370883cb,Tacos de tripas del Expiatorio,21.119816230421314,-101.67451071870288,13 de Septiembre,León,GTO,37000,,,,MX,2012-12-04,2020-11-24,,,,,,,,['4bf58dd8d48988d151941735' '4bf58dd8d48988d1c1941735'],"['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'
 'Dining and Drinking > Restaurant > Mexican Restaurant']",b'\x00\x00\x00\x00\x01\xc0Yk+/\x01hW@5\x1e\xacF\xc70\x86',"{'xmin': -101.67451071870288, 'ymin': 21.119816230421314, 'xmax': -101.67451071870288, 'ymax': 21.119816230421314}","dining and drinking > restaurant > mexican restaurant > taco restaurant, dining and drinking > restaurant > mexican restaurant",1
4cafcef975ebb60cce8abfad,Taquería La Alteña,19.255199750563687,-103.6948714324081,Boulevard Camino Real,Colima,Colima,28010,,,,MX,2010-10-09,2020-11-22,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0Y\xecx\xc6\x07G\x85@3AT\xc5V\x9eO',"{'xmin': -103.6948714324081, 'ymin': 19.255199750563687, 'xmax': -103.6948714324081, 'ymax': 19.255199750563687}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
50671012e4b0da4f1fb4666b,Tacos al Carbon,22.13616174144211,-100.92716687322984,Israel 303,San Luis Potosi,San Luis Potosi,,,,,MX,2012-09-29,2020-11-30,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],"b'\x00\x00\x00\x00\x01\xc0Y;V\xb3\xb9\x9d;@6""\xdb~\xf2u\xd4'","{'xmin': -100.92716687322984, 'ymin': 22.13616174144211, 'xmax': -100.92716687322984, 'ymax': 22.13616174144211}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
518901c2498e99d0c27a50f9,"Taqueria ""El Canelo""",20.816261,-102.772182,,,,,,,,MX,2013-05-07,2021-08-18,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0Y\xb1kn\r#\xd5@4\xd0\xf6{\x1c\x00\x11',"{'xmin': -102.772182, 'ymin': 20.816261, 'xmax': -102.772182, 'ymax': 20.816261}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
55e497d9498eea3f0c26ca0f,La Casa De La Abuela,20.668649174877782,-101.35104778886623,Calzada Insurgentes,"Irapuato, GTO.",,,,,,MX,2015-08-31,2020-11-22,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],"b'\x00\x00\x00\x00\x01\xc0YVw\x91% \xde@4\xab,\x97\xa2\x98\xf3'","{'xmin': -101.35104778886623, 'ymin': 20.668649174877782, 'xmax': -101.35104778886623, 'ymax': 20.668649174877782}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
5363ee9e498eafbc8b2e86b2,Birrieria Martínez,20.63745880126953,-103.3760986328125,,,,,,,,MX,2014-05-02,2021-08-12,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0Y\xd8\x12\x00\x00\x00\x00@4\xa30\x80\x00\x00\x00',"{'xmin': -103.3760986328125, 'ymin': 20.63745880126953, 'xmax': -103.3760986328125, 'ymax': 20.63745880126953}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
50437c95e4b0ba0a533a2962,Birriería 'Sayula',20.634370667616903,-103.40030550956725,Av. Conchita,Tlaquepaque,Jalisco,,,,,MX,2012-09-02,2020-11-24,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0Y\xd9\x9e\x9a\xff\xff\xff@4\xa2f\x1d\xb6\xf4\xcf',"{'xmin': -103.40030550956725, 'ymin': 20.634370667616903, 'xmax': -103.40030550956725, 'ymax': 20.634370667616903}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
6004647d81f9f71bbe55818b,Tacos Tuxpeños Don Rafa,19.250959,-103.714365,,Colima,COL,28030,,,,MX,2021-01-17,2021-01-17,,,,,,,,['4bf58dd8d48988d151941735' '4bf58dd8d48988d1c1941735'],"['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'
 'Dining and Drinking > Restaurant > Mexican Restaurant']","b""\x00\x00\x00\x00\x01\xc0Y\xed\xb8'\xfa\x1a\r@3@>\xd9Y\xa3\n""","{'xmin': -103.714365, 'ymin': 19.250959, 'xmax': -103.714365, 'ymax': 19.250959}","dining and drinking > restaurant > mexican restaurant > taco restaurant, dining and drinking > restaurant > mexican restaurant",1
55fb5eda498e81836711ab26,Tacos Y Quesadillas Agustín,21.012754440307617,-101.25083923339844,,,,,,,,MX,2015-09-18,2021-08-11,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0YP\r\xc0\x00\x00\x00@5\x03C\xe0\x00\x00\x00',"{'xmin': -101.25083923339844, 'ymin': 21.012754440307617, 'xmax': -101.25083923339844, 'ymax': 21.012754440307617}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
5156b1b0e4b0967e20400685,Brasitacos,20.681782215656714,-101.34869158619641,Blvd Díaz Ordaz,Irapuato,Guanajuato,,,,,MX,2013-03-30,2020-11-24,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0YVP\xf6\x83\xc6\xa7@4\xae\x89G\x7f=q',"{'xmin': -101.34869158619641, 'ymin': 20.681782215656714, 'xmax': -101.34869158619641, 'ymax': 20.681782215656714}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
59cf1d53c824ae1bfe5e7c9d,Rabanno's Tacos,19.767169,-104.362655,Calle Matamoros,Autlán de Navarro,JAL,,,,,MX,2017-09-30,2020-11-24,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0Z\x175\xbdQ.\xc7@3\xc4e0\x05\x81I',"{'xmin': -104.362655, 'ymin': 19.767169, 'xmax': -104.362655, 'ymax': 19.767169}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
5c08637f25ecca002ce02916,Taqueria La Tablita,21.002357,-101.283759,,Guanajuato,GTO,36251,,,,MX,2018-12-05,2020-11-24,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0YR)\x1b\x82<\x86@5\x00\x9aw\xe5\xea\xab',"{'xmin': -101.283759, 'ymin': 21.002357, 'xmax': -101.283759, 'ymax': 21.002357}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4e76040e88775d593e34f166,Asadas Chanoc,20.620632834866257,-103.32389476469237,Biela 3300,Tlaquepaque,Jalisco,,,,,MX,2011-09-18,2020-11-17,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0Y\xd4\xba\xb1\x1bl\xc2@4\x9e\xe1\xcb \x93\x08',"{'xmin': -103.32389476469237, 'ymin': 20.620632834866257, 'xmax': -103.32389476469237, 'ymax': 20.620632834866257}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
5264186e11d2caed0cb7b782,Birrieria Angeles,20.648599,-105.206864,Francia 251,,,,,,,MX,2013-10-20,2021-08-10,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0ZM=B\x80\xae\x10@4\xa6\n\x95\x857\xe3',"{'xmin': -105.206864, 'ymin': 20.648599, 'xmax': -105.206864, 'ymax': 20.648599}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
55b6efcc498eef1e09575e4c,"Tacos ""Don Luis""",20.75250244140625,-103.36243438720703,Carpinteros #311,Zapopan,jalisco,,,,,MX,2015-07-28,2020-11-25,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0Y\xd72 \x00\x00\x00@4\xc0\xa4\x00\x00\x00\x00',"{'xmin': -103.36243438720703, 'ymin': 20.75250244140625, 'xmax': -103.36243438720703, 'ymax': 20.75250244140625}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4f89ae21e4b047d84a56d281,Gorditas El Sagrado Corazon,20.577469,-101.193152,,,,,,,,MX,2012-04-14,2021-08-13,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0YL\\\x9a4\xca\x0c@4\x93\xd5\x02%t.',"{'xmin': -101.193152, 'ymin': 20.577469, 'xmax': -101.193152, 'ymax': 20.577469}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
57c64f4c498efcac24c5c5e2,Tacos Pinocho,21.900663,-102.27683,,Aguascalientes,Aguascalientes,20169,,,,MX,2016-08-31,2020-11-23,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0Y\x91\xb7\x95-#O@5\xe6\x91\xd9\xb1\xb7\x9e',"{'xmin': -102.27683, 'ymin': 21.900663, 'xmax': -102.27683, 'ymax': 21.900663}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
58476c477220e601a0bcbc7e,Tacos Tony,20.731613,-103.393845,,Zapopan,Jalisco,,,,,MX,2016-12-07,2020-11-22,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0Y\xd94\xc1\xa8\xac\\@4\xbbJ\xfdTT\x15',"{'xmin': -103.393845, 'ymin': 20.731613, 'xmax': -103.393845, 'ymax': 20.731613}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
5bbc0d783149b9002c32b009,El Deportao,21.100945,-101.64639,Blvd. San Pedro,León,GTO,37530,,,,MX,2018-10-09,2020-11-23,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0Yi^t)\x9d\x88@5\x19\xd7\x88\x11\xb1\xd9',"{'xmin': -101.64639, 'ymin': 21.100945, 'xmax': -101.64639, 'ymax': 21.100945}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4d2e5e70940137049355e5da,Tacos y Hamburguesas Versalles,20.635665,-105.228402,Milan 265,Puerto Vallarta,Jalisco,,,,,MX,2011-01-13,2020-11-24,,,,,,,,['4bf58dd8d48988d151941735' '4bf58dd8d48988d16c941735'],"['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'
 'Dining and Drinking > Restaurant > Burger Joint']",b'\x00\x00\x00\x00\x01\xc0ZN\x9e#l\x15\xd3@4\xa2\xba\xf1\x026;',"{'xmin': -105.228402, 'ymin': 20.635665, 'xmax': -105.228402, 'ymax': 20.635665}","dining and drinking > restaurant > mexican restaurant > taco restaurant, dining and drinking > restaurant > burger joint",1
