fsq_place_id,name,latitude,longitude,address,locality,region,postcode,admin_region,post_town,po_box,country,date_created,date_refreshed,date_closed,tel,website,email,facebook_id,instagram,twitter,fsq_category_ids,fsq_category_labels,geom,bbox,labels_str,taco_restaurant
4f582672e4b0cd6f8caaaeeb,Taqueria La Guerita,32.57271343412226,-116.63657900770089,,Tecate,Baja California,,,,,MX,2012-03-08,2023-12-20,,665 654 1777,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0](\xbd\xb5\xe0\xd9O@@IN\xac~\xc4y',"{'xmin': -116.63657900770089, 'ymin': 32.57271343412226, 'xmax': -116.63657900770089, 'ymax': 32.57271343412226}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4e108b07c65b4a49f304cf87,Tacos Hector,32.53259,-117.00961,Pino Suarez esquina con Cuahutemoc,Tijuana,Baja California,,,,,MX,2011-07-03,2023-12-20,,664 682 4651,,,,,,['4bf58dd8d48988d1c1941735' '4bf58dd8d48988d151941735'],"['Dining and Drinking > Restaurant > Mexican Restaurant'
 'Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant']",b'\x00\x00\x00\x00\x01\xc0]@\x9dsB\xed\xbb@@D+\xe8\xbc\x16\x9c',"{'xmin': -117.00961, 'ymin': 32.53259, 'xmax': -117.00961, 'ymax': 32.53259}","dining and drinking > restaurant > mexican restaurant, dining and drinking > restaurant > mexican restaurant > taco restaurant",1
4d1d7a665c4ca1cdd6d2873d,Tacos El Original,31.785385881856687,-116.59182219016076,Carr. Transpeninsular,Ensenada,Baja California,,,,,MX,2010-12-31,2020-11-22,,,,,,,,['4bf58dd8d48988d151941735' '4bf58dd8d48988d1c1941735'],"['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'
 'Dining and Drinking > Restaurant > Mexican Restaurant']",b'\x00\x00\x00\x00\x01\xc0]%\xe0j-\xf2g@?\xc9\x0f\x0c\x95P\x89',"{'xmin': -116.59182219016076, 'ymin': 31.785385881856687, 'xmax': -116.59182219016076, 'ymax': 31.785385881856687}","dining and drinking > restaurant > mexican restaurant > taco restaurant, dining and drinking > restaurant > mexican restaurant",1
5891822293eaf82b5a34a244,El Tasajo,32.621198,-115.479044,,,,,,,,MX,2017-02-01,2021-08-13,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0\\\xde\xa8\xa8*V\x15@@O\x83j\x83+\x99',"{'xmin': -115.479044, 'ymin': 32.621198, 'xmax': -115.479044, 'ymax': 32.621198}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4c0a122435ac9c74068d85f7,Tacos Beto,32.64889679206721,-115.4242354631424,Francisco Montes de Oca,Mexicali,B.C.,,,,,MX,2010-06-05,2020-11-23,,686 543 3079,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0\\\xdb&\xac\x80\x00\x00@@S\x0f\x0c\xd249',"{'xmin': -115.4242354631424, 'ymin': 32.64889679206721, 'xmax': -115.4242354631424, 'ymax': 32.64889679206721}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4f8b47c4e4b0089deaa27219,La Gaviota,31.8587226,-116.6214191,,Ensenada,Baja California,,,,,MX,2012-04-15,2020-11-25,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],"b""\x00\x00\x00\x00\x01\xc0]'\xc5T\x9d\xe7\x06@?\xdb\xd5>\x8bV\n""","{'xmin': -116.6214191, 'ymin': 31.8587226, 'xmax': -116.6214191, 'ymax': 31.8587226}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
51149f61e4b0ddd227bff784,tacos el chino,32.46656848956421,-117.00223761908266,Calle La Paz,Tijuana,,,,,,MX,2013-02-08,2023-12-20,,664 636 6202,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0]@$\xa9A1\xfb@@;\xb8\x84*\x02\xde',"{'xmin': -117.00223761908266, 'ymin': 32.46656848956421, 'xmax': -117.00223761908266, 'ymax': 32.46656848956421}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4fa5810be4b0862c7518b000,"Tacos ""El Toby""",32.572036,-116.651723,,,,,,,,MX,2012-05-05,2021-08-16,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0])\xb5\xd4b\xc3D@@I8y\xc4\x11<',"{'xmin': -116.651723, 'ymin': 32.572036, 'xmax': -116.651723, 'ymax': 32.572036}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
51df8e23498ea31b42f1b39a,Tacos Don Santos,32.601531982421875,-115.4722900390625,,,,,,,,MX,2013-07-12,2021-08-13,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0\\\xde:\x00\x00\x00\x00@@L\xff\x00\x00\x00\x00',"{'xmin': -115.4722900390625, 'ymin': 32.601531982421875, 'xmax': -115.4722900390625, 'ymax': 32.601531982421875}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
51607229e4b04f05a4a0f60e,Tacos De Birria Erik,32.5304717709871,-116.87934442169815,Blvd Benitez,Tijuana,tijuana,,,,,MX,2013-04-06,2020-11-22,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0]8G-\xd3GE@@C\xe6\x7f\xbd\xeb\x9f',"{'xmin': -116.87934442169815, 'ymin': 32.5304717709871, 'xmax': -116.87934442169815, 'ymax': 32.5304717709871}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
