fsq_place_id,name,latitude,longitude,address,locality,region,postcode,admin_region,post_town,po_box,country,date_created,date_refreshed,date_closed,tel,website,email,facebook_id,instagram,twitter,fsq_category_ids,fsq_category_labels,geom,bbox,labels_str,taco_restaurant
513e5b24e4b0e2b142c0e269,MásTaco,31.855632174089475,-116.61817647236182,,,,,,,,MX,2013-03-11,2021-08-16,,,,,,,,['4bf58dd8d48988d1ce941735' '4bf58dd8d48988d151941735'],"['Dining and Drinking > Restaurant > Seafood Restaurant'
 'Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant']","b""\x00\x00\x00\x00\x01\xc0]'\x904\x0c\xfc\xd8@?\xdb\n\xb5\xcd\x1e\xa3""","{'xmin': -116.61817647236182, 'ymin': 31.855632174089475, 'xmax': -116.61817647236182, 'ymax': 31.855632174089475}","dining and drinking > restaurant > seafood restaurant, dining and drinking > restaurant > mexican restaurant > taco restaurant",1
4da527ae0437bc50a6e6a6f2,Tacos El Pancitas,31.878620774760165,-116.61041364269008,Reforma,Ensenada,Baja California,,,,,MX,2011-04-13,2020-11-23,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],"b""\x00\x00\x00\x00\x01\xc0]'\x11\x04b\x18\xb6@?\xe0\xedJ\x85.\\""","{'xmin': -116.61041364269008, 'ymin': 31.878620774760165, 'xmax': -116.61041364269008, 'ymax': 31.878620774760165}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4f910d44e4b04cd6aa792b58,Tacos De Carne Asada Robert,32.63763436789549,-115.42281743140182,,,,,,,,MX,2012-04-20,2021-08-21,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],"b'\x00\x00\x00\x00\x01\xc0\\\xdb\x0fp\xd8\x03,@@Q\x9e\x00\xc2uX'","{'xmin': -115.42281743140182, 'ymin': 32.63763436789549, 'xmax': -115.42281743140182, 'ymax': 32.63763436789549}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
54bad24a498e2e855cb60961,Taquería El Carrizal,32.6361084083818,-115.45576226630477,,Mexicali,,,,,,MX,2015-01-17,2020-11-30,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0\\\xdd+5\x7f!\xe9@@Ql\x00\x15Z\xf0',"{'xmin': -115.45576226630477, 'ymin': 32.6361084083818, 'xmax': -115.45576226630477, 'ymax': 32.6361084083818}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4e40559045dd68e3275e65a7,Tacos Los Albañiles,32.534627216886946,-117.04639975044061,,Tijuana,Baja California,,,,,MX,2011-08-08,2023-12-21,,664 685 8884,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0]B\xf86\xa8\xab\xd7@@Dn\xaa&\n\\',"{'xmin': -117.04639975044061, 'ymin': 32.534627216886946, 'xmax': -117.04639975044061, 'ymax': 32.534627216886946}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4f81cde6e4b023c639f0603b,Mairiscos Chuky's,32.53790940082736,-116.93605325845652,,,,,,,,MX,2012-04-08,2021-08-13,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0];\xe8K\xed\x18\xa4@@D\xda7\x1aa\xda',"{'xmin': -116.93605325845652, 'ymin': 32.53790940082736, 'xmax': -116.93605325845652, 'ymax': 32.53790940082736}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
5b7cd9b72f97ec002c3605b1,Tacos El Moreno,32.491601,-116.855315,,Tijuana,BC,22235,,,,MX,2018-08-22,2020-11-25,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0]6\xbd{ 1\xcf@@>\xec\xc8\x14\xd7(',"{'xmin': -116.855315, 'ymin': 32.491601, 'xmax': -116.855315, 'ymax': 32.491601}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4f526cdce4b0776d649b6e6b,Supersopa,32.531942,-117.038023,,,,,,,,MX,2012-03-03,2021-08-12,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0]Bn\xf8\x05_\xbb@@D\x16\xac\xea\xaf6',"{'xmin': -117.038023, 'ymin': 32.531942, 'xmax': -117.038023, 'ymax': 32.531942}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
64efb462e9b081178ed0a29a,Tacos Y Tequila,31.86084,-116.623077,,Ensenada,B.C.,22800,,,,MX,2023-08-30,2023-08-30,,,,,,,,['4bf58dd8d48988d151941735' '4bf58dd8d48988d1c1941735'],"['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'
 'Dining and Drinking > Restaurant > Mexican Restaurant']","b""\x00\x00\x00\x00\x01\xc0]'\xe0~Zx\xf2@?\xdc`\x02\x9f\x16\xb1""","{'xmin': -116.623077, 'ymin': 31.86084, 'xmax': -116.623077, 'ymax': 31.86084}","dining and drinking > restaurant > mexican restaurant > taco restaurant, dining and drinking > restaurant > mexican restaurant",1
2eeb8543fb9c4f194541bb77,Tortillería la Unión,32.513775,-116.902692,Calle San Quintin 20581,Tijuana,Baja California,22200,,,,MX,2013-03-07,2023-12-06,,,,,,,,"['63be6904847c3692a84b9b36' '4bf58dd8d48988d151941735'
 '4bf58dd8d48988d1f9941735']","['Business and Professional Services > Construction'
 'Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'
 'Retail > Food and Beverage Retail']",b'\x00\x00\x00\x00\x01\xc0]9\xc5\xb4\xaa\x97\x18@@A\xc3a\x13@O',"{'xmin': -116.902692, 'ymin': 32.513775, 'xmax': -116.902692, 'ymax': 32.513775}","business and professional services > construction, dining and drinking > restaurant > mexican restaurant > taco restaurant, retail > food and beverage retail",1
