fsq_place_id,name,latitude,longitude,address,locality,region,postcode,admin_region,post_town,po_box,country,date_created,date_refreshed,date_closed,tel,website,email,facebook_id,instagram,twitter,fsq_category_ids,fsq_category_labels,placemaker_url,geom,bbox,labels_str,taco_restaurant
4f2c44fae4b01c385e363dec,"Tacos de Pescado y Camaron ""Cielito Lindo""",32.63498435230694,-115.5754720695941,,,,,,,,MX,2012-02-03,2012-09-19,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/4f2c44fae4b01c385e363dec,b'\x00\x00\x00\x00\x01\xc0\\\xe4\xd4\x88\xcd\xaa\xc2@@QG*\xd1P\xa5',"{'xmin': -115.5754720695941, 'ymin': 32.63498435230694, 'xmax': -115.5754720695941, 'ymax': 32.63498435230694}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4dfdbf8352b189230310b590,Taquitos El Tucan,32.525959,-117.029335,,Tijuana,BC,,,,,MX,2011-06-19,2022-05-25,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/4dfdbf8352b189230310b590,b'\x00\x00\x00\x00\x01\xc0]A\xe0\x9f\xe8h4@@CR\x9f\xe0\x04\xb8',"{'xmin': -117.029335, 'ymin': 32.525959, 'xmax': -117.029335, 'ymax': 32.525959}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
530956d0498ea0127a6dbc20,Súper tacos,32.354422,-117.059205,Benito Juárez,Rosarito,Baja California,,,,,MX,2014-02-23,2015-02-08,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/530956d0498ea0127a6dbc20,b'\x00\x00\x00\x00\x01\xc0]C\xca\x03\xc4\xb0\x9f@@-]\xb39}\xd0',"{'xmin': -117.059205, 'ymin': 32.354422, 'xmax': -117.059205, 'ymax': 32.354422}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4e90a9e446908c033f3d9093,"Tacos de Borrego ""El Dany""",32.61058254249683,-115.39578200634845,Blvd. Lazaro Cardenas,,,,,,,MX,2011-10-08,2018-03-03,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/4e90a9e446908c033f3d9093,"b""\x00\x00\x00\x00\x01\xc0\\\xd9T~\rg)@@N'\x91\x99\xc4&""","{'xmin': -115.39578200634845, 'ymin': 32.61058254249683, 'xmax': -115.39578200634845, 'ymax': 32.61058254249683}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
6656d69fa9b699739b77d8f0,Los Chavalos,31.849129,-116.57803,,Ensenada,Baja California,22850,,,,MX,2024-05-29,2025-01-06,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/6656d69fa9b699739b77d8f0,b'\x00\x00\x00\x00\x01\xc0]$\xfeq\x8a\x86\xd7@?\xd9`\x84\xa5\x15\xcf',"{'xmin': -116.57803, 'ymin': 31.849129, 'xmax': -116.57803, 'ymax': 31.849129}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4d0af6d8984a6ea8cd1a8f64,Tacomiendo,32.49830287929939,-116.99837716351348,Tijuana BC,Tijuana,Bc,,,,,MX,2010-12-17,2021-05-30,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/4d0af6d8984a6ea8cd1a8f64,b'\x00\x00\x00\x00\x01\xc0]?\xe5iT\x97F@@?\xc8c\x85\x0b\xf8',"{'xmin': -116.99837716351348, 'ymin': 32.49830287929939, 'xmax': -116.99837716351348, 'ymax': 32.49830287929939}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
5014d913e4b07c3cf32624b1,Tacos de Arrachera Estilo Perron,32.52128395623728,-117.1158039760836,,,,,,,,MX,2012-07-29,2019-08-09,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/5014d913e4b07c3cf32624b1,b'\x00\x00\x00\x00\x01\xc0]GiU\x14\x81\xa7@@B\xb9n\xc3\xfb\xfc',"{'xmin': -117.1158039760836, 'ymin': 32.52128395623728, 'xmax': -117.1158039760836, 'ymax': 32.52128395623728}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
52c329d711d2ac4fd992d5c7,tacos el paisano (Tacos De Borrego),32.667991638183594,-115.42012023925781,,Mexicali,BCN,,,,,MX,2013-12-31,2016-06-19,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/52c329d711d2ac4fd992d5c7,b'\x00\x00\x00\x00\x01\xc0\\\xda\xe3@\x00\x00\x00@@U\x80\xc0\x00\x00\x00',"{'xmin': -115.42012023925781, 'ymin': 32.667991638183594, 'xmax': -115.42012023925781, 'ymax': 32.667991638183594}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
527dd3e9498e9d7fefdde709,Taqueria Santa Mónica,32.619789123535156,-115.48870849609375,,,,,,,,MX,2013-11-09,2014-09-30,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/527dd3e9498e9d7fefdde709,b'\x00\x00\x00\x00\x01\xc0\\\xdfG\x00\x00\x00\x00@@OU@\x00\x00\x00',"{'xmin': -115.48870849609375, 'ymin': 32.619789123535156, 'xmax': -115.48870849609375, 'ymax': 32.619789123535156}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
505d6938e4b02c16f30c910b,Tacos Efra,20.63889781529586,-103.39048616611043,,,,,,,,MX,2012-09-22,2018-07-15,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/505d6938e4b02c16f30c910b,b'\x00\x00\x00\x00\x01\xc0Y\xd8\xfd\xb9\xb0?\x06@4\xa3\x8e\xce\xa6.{',"{'xmin': -103.39048616611043, 'ymin': 20.63889781529586, 'xmax': -103.39048616611043, 'ymax': 20.63889781529586}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
