fsq_place_id,name,latitude,longitude,address,locality,region,postcode,admin_region,post_town,po_box,country,date_created,date_refreshed,date_closed,tel,website,email,facebook_id,instagram,twitter,fsq_category_ids,fsq_category_labels,placemaker_url,unresolved_flags,geom,bbox,labels_str,taco_restaurant
4d1d0d0b6e8c37041cafd89f,Tacos Aaron Rio,32.521703,-117.01344,"José María Velazco 2789, Zona Rio, Tijuana, Baja California, Mexico",,,,,,,MX,2010-12-30,2025-05-28,,664 495 6432,https://tacos-aaron-rio.com-fnb.com,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/4d1d0d0b6e8c37041cafd89f,,b'\x00\x00\x00\x00\x01\xc0]@\xdc3r\x1dT@@B\xc7)\xf5\x9c\xd0',"{'xmin': -117.01344, 'ymin': 32.521703, 'xmax': -117.01344, 'ymax': 32.521703}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4fa305bce4b04517551eee09,Tacos los chatos,32.521888732910156,-117.01458740234375,,,,,,,,MX,2012-05-03,2023-06-06,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/4fa305bce4b04517551eee09,,b'\x00\x00\x00\x00\x01\xc0]@\xef\x00\x00\x00\x00@@B\xcd@\x00\x00\x00',"{'xmin': -117.01458740234375, 'ymin': 32.521888732910156, 'xmax': -117.01458740234375, 'ymax': 32.521888732910156}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
64790f600554545ec76fcd54,Loa Dorados,32.523942,-117.013134,,Tijuana,Baja California,22010,,,,MX,2023-06-01,2023-06-01,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/64790f600554545ec76fcd54,,b'\x00\x00\x00\x00\x01\xc0]@\xd7/\xfd\x1d\xcd@@C\x10\x88\r\x80\x1b',"{'xmin': -117.013134, 'ymin': 32.523942, 'xmax': -117.013134, 'ymax': 32.523942}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
51b3765c498e28ccb922fb94,"Tacos De Birria ""Junior""",32.528678,-117.008909,,,,,,,,MX,2013-06-08,2014-07-27,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/51b3765c498e28ccb922fb94,,b'\x00\x00\x00\x00\x01\xc0]@\x91\xf7\r\xe8\xf7@@C\xab\xb8\x80\x0e\xae',"{'xmin': -117.008909, 'ymin': 32.528678, 'xmax': -117.008909, 'ymax': 32.528678}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
5a944431c53093310566115a,Taquitos De Birria,32.524986,-117.014406,,Tijuana,BC,22320,,,,MX,2018-02-26,2025-03-06,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/5a944431c53093310566115a,,b'\x00\x00\x00\x00\x01\xc0]@\xec\x07$\xb7o@@C2\xbd\xc2m\xce',"{'xmin': -117.014406, 'ymin': 32.524986, 'xmax': -117.014406, 'ymax': 32.524986}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4cf82a5f7b44224b317ccd05,Asadero Baja Sonora,32.523550053121035,-117.01606562149085,Paseo de los Heroes s/n,Tijuana,BC,22010,,,,MX,2010-12-02,2024-01-15,,664 378 2020,http://www.asaderobajasonora.com,,601272386602284.0,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/4cf82a5f7b44224b317ccd05,,b'\x00\x00\x00\x00\x01\xc0]A\x078\x19\xb9)@@C\x03\xb0)\xfc\xa9',"{'xmin': -117.01606562149085, 'ymin': 32.523550053121035, 'xmax': -117.01606562149085, 'ymax': 32.523550053121035}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
56c77bbe498e3d63f7ce5d83,Tacos Varios,32.52367348843827,-117.01669975318092,Dr. Atl,Tijuana,Baja California,22010,,,,MX,2016-02-19,2023-09-01,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/56c77bbe498e3d63f7ce5d83,,b'\x00\x00\x00\x00\x01\xc0]A\x11\x9b\xd7p\xda@@C\x07\xbb\x9dO\xf3',"{'xmin': -117.01669975318092, 'ymin': 32.52367348843827, 'xmax': -117.01669975318092, 'ymax': 32.52367348843827}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4e63f97b62e13e3bcf4f5022,Asadero De Obregon,32.524842,-117.020366,,Tijuana,Baja California,,,,,MX,2011-09-04,2011-09-04,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/4e63f97b62e13e3bcf4f5022,,b'\x00\x00\x00\x00\x01\xc0]AM\xad1\xfc\xd2@@C.\x05\xcc\xc8\x9b',"{'xmin': -117.020366, 'ymin': 32.524842, 'xmax': -117.020366, 'ymax': 32.524842}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
5fde733922667940b02d8805,Chito’s Taco Shop,32.52481,-117.019873,,Tijuana,BC,22010,,,,MX,2020-12-19,2023-08-05,2023-08-05,,,,,,,['4bf58dd8d48988d151941735' '4bf58dd8d48988d1c1941735'],"['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'
 'Dining and Drinking > Restaurant > Mexican Restaurant']",https://foursquare.com/placemakers/review-place/5fde733922667940b02d8805,,"b'\x00\x00\x00\x00\x01\xc0]AE\x99gD\xb3@@C,\xf9]N\x90'","{'xmin': -117.019873, 'ymin': 32.52481, 'xmax': -117.019873, 'ymax': 32.52481}","dining and drinking > restaurant > mexican restaurant > taco restaurant, dining and drinking > restaurant > mexican restaurant",1
50a1840de4b029db3f5d5c80,El Kosteño,32.52326375652946,-117.01926903464539,,,,,,,,MX,2012-11-12,2012-11-12,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/50a1840de4b029db3f5d5c80,,b'\x00\x00\x00\x00\x01\xc0]A;\xb40h(@@B\xfaN\x88\xbc\xf2',"{'xmin': -117.01926903464539, 'ymin': 32.52326375652946, 'xmax': -117.01926903464539, 'ymax': 32.52326375652946}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
